,document_title,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23,short_answer24,short_answer25,short_answer26,short_answer27,short_answer28,short_answer29,short_answer30
0,Therefore sign,what do the 3 dots mean in math,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","the therefore sign ( ∴ ) is generally used before a logical consequence , such as the conclusion of a syllogism",the therefore sign,"a logical consequence , such as the conclusion of a syllogism",therefore sign,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Watchman (law enforcement),when was the writ watch invented by who,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Photograph (Ringo Starr song),who wrote the song photograph by ringo starr,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Ringo Starr,George Harrison,Richard Starkey,George Harrison,Ringo Starr,George Harrison,,,,,,,,,,,,,,,,,,,,,,,,
0,Super Bowl 50 halftime show,who is playing the halftime show at super bowl 2016,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Coldplay with special guest performers Beyoncé and Bruno Mars,Coldplay,Beyoncé,Bruno Mars,British rock group Coldplay with special guest performers Beyoncé and Bruno Mars,Coldplay,Beyoncé,Bruno Mars,,,,,,,,,,,,,,,,,,,,,,
0,Matt Lanter,star wars the clone wars anakin voice actor,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Matthew MacKendree `` Matt '' Lanter,Matthew MacKendree `` Matt '' Lanter,Matthew MacKendree `` Matt '' Lanter,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,A Whiter Shade of Pale,meaning behind the song whiter shade of pale,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Globe,where is most distortion found on a globe,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of A Certain Scientific Railgun episodes,to aru kagaku no railgun s episode 3,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Project Radio Noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Seraph of the End chapters,when do new chapters of owari no seraph come out,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Surname,where does the last name painter come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dominance (genetics),dominant alleles are always the most common allele in a population,"['NONE', 'NO', 'NONE', 'NONE', 'NO']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of woods,an eastern red cedar is a hardwood or softwood,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ahmedabad textile industry,what are the challenges faced by the cotton textile industry of ahmedabad,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2017 BBC Sports Personality of the Year Award,who won the 2017 sports personality of the year,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Mo Farah,Mo Farah,Mo Farah,Mo Farah,Mo Farah,,,,,,,,,,,,,,,,,,,,,,,,,
0,I've Got the Joy Joy Joy Joy,i got the joy joy joy down in my heart lyrics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
